ten,Gia,Tinh_trang,Kich_thuoc_man_hinh,Cong_nghe_man_hinh,Camera_truoc,Camera_sau,Chipset,Cong_nghe_NFC,Dung_luong_ram,Bo_nho_trong,Dung_luong_pin,The_SIM,Do_phan_giai_man_hinh,Tinh_nang_man_hinh,Loai_CPU,loai_san_pham
iPhone 12 Pro 256GB | Chính hãng VN/A,24990000.0,,6.1 inches,"Super Retina XDR OLED, HDR10, Dolby Vision, Wide color gamut, True-tone","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom
12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""
TOF 3D LiDAR scanner (depth)",Apple A14 Bionic (5 nm),Có,6 GB,256 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0",2 SIM (nano‑SIM và eSIM),1170 x 2532 pixels,"HDR10
Dolby Vision
True-tone",không có thông tin,Điện thoại
Nothing Phone 2,,,6.55 inches,OLED,16 MP,"Camera góc rộng: 108 MP, f/1.9, 24mm, PDAF, OIS
Camera góc siêu rộng: 20 MP, f/2.2, 114˚
Camera macro: 2 MP f/2.2",Snapdragon 8 Gen 2 (4 nm),Có,8 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz
1 tỷ màu, HDR10+, 500 nits (typ), 950 nits (tối đa)
Corning Gorilla Glass 6",1x3.2 GHz & 2x2.8 GHz & 2x2.8 GHz & 3x2.0 GHz,Điện thoại
Samsung Galaxy A14 4G,2990000.0,,6.6 inches,IPS LCD,13MP,"Chính 50 MP & Phụ 5 MP, 2 MP",Exynos 850 8 nhân,Có,4 GB,128 GB,"5,000mAh",2 SIM (Nano-SIM),2408 x 1080 pixels,Tốc độ làm mới 60Hz và độ sáng tối đa 480 nits,không có thông tin,Điện thoại
Huawei Pura 70 Pro,,,6.6 inches,OLED,8MP,"Camera chính: 50MP
Ống kính khẩu độ thay đổi f/1.4 - 4.0
Camera góc siêu rộng: 12.5MP
Camera tele: 48MP",Kirin 9010,Có,không có thông tin,không có thông tin,"5,050 mAh",không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
realme C51 4GB 128GB,2390000.0,,6.74 inches,IPS LCD,"5M, f/2.22",Chính 50 MP & Phụ 0.3 MP,Unisoc UNISOC T612,không có thông tin,4GB + Mở rộng 4GB,128 GB,5000mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"16.7 triệu màu, độ sáng tối đa 560nits",không có thông tin,Điện thoại
Samsung Galaxy S22 Plus (8GB - 256GB),16990000.0,,6.6 inches,Dynamic AMOLED 2X,"10 MP, f/2.2","Camera góc rộng: 50 MP, f/1.8
Camera góc siêu rộng: 12 MP, f/2.2
Camera Tele: 10MP, f/2.4",Snapdragon 8 Gen 1 8 nhân,Có,8 GB,256 GB,4500 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2340 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass Victus+
Độ sáng tối đa 1750 nits
Tần số quét 120 Hz",không có thông tin,Điện thoại
Redmi A2 2GB 32GB,1590000.0,,6.52 inches,IPS LCD,5MP - f/2.2,"2 Camera chính: 8MP - f/2.0,",MediaTek Helio G36,Không,2 GB,32 GB,"5,000mAh",2 SIM (Nano-SIM),1600 x 720 pixels (HD+),không có thông tin,không có thông tin,Điện thoại
Realme GT Neo 5 SE,,,6.74 inches,OLED,"Camera góc rộng: 16MP, f/2.5, 25mm, 1/3.09"", 1.0µm","Camera góc rộng: 64 MP, f/1.8, 25mm, 1/2"", PDAF
Camera góc siêu rộng: 8MP, f/2.2, 16mm, 112˚, 1/4.0"", 1.12µm
Kính hiển vi: 2MP, f/3.3",Snapdragon 7+ Gen 2 (4 nm),không có thông tin,8 GB,256 GB,5500 mAh,2 SIM (Nano-SIM),1240 x 2772 pixels,"Tần số quét 144Hz, 1 tỷ màu, 1400 nits",không có thông tin,Điện thoại
Xiaomi 14 Pro,,,6.8 inches,Super AMOLED,32 MP,64 MP + 64 MP + 64 MP,Snapdragon 8+ Gen 1,Có,8 GB,128 GB,5.000 mAh,không có thông tin,không có thông tin,Tần số quét màn hình 120 Hz,không có thông tin,Điện thoại
Điện thoại ZTE Blade V40 6GB 128GB,2290000.0,,6.67 inches,IPS LCD,8MP FF,48MP + 2MP +2MP,Unisoc T618,không có thông tin,6GB + Mở rộng 5GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"395ppi, tỷ lệ 20:9",không có thông tin,Điện thoại
realme C33 4GB 64GB,2190000.0,,6.5 inches,IPS LCD,5 MP,Chính 50 MP & Phụ 0.3 MP,Unisoc T612,không có thông tin,4 GB,64 GB,5.000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"60Hz, 16.7 triệu màu",không có thông tin,Điện thoại
Redmi A1,2190000.0,,6.52 inches,IPS LCD,"5MP, f/2.2",8MP + 2MP,MediaTek MT6761 4 nhân (Helio A22),không có thông tin,2 GB,32 GB,5000mAh,2 SIM (Nano-SIM),1600 x 720 pixels (HD+),"Tần số quét 60Hz, 400 nits",không có thông tin,Điện thoại
Masstel izi S3 4G,470000.0,,1.77 inches,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,16 GB,1000 mAh,không có thông tin,128 x 160 pixels,"QQVGA, 262K màu",không có thông tin,Điện thoại
Honor X9B,,,6.78 inches,AMOLED,"16.0 MP, ƒ/2.45","Camera chính: 108.0 MP, ƒ/1.75
Camera góc rộng: 5.0 MP, ƒ/2.2
Camera góc siêu rộng: 2.0 MP, ƒ/2.4",Snapdragon 6 Gen 1,không có thông tin,12 GB,256 GB,5800 mAh,2 SIM (Nano-SIM),2652 x 1200 pixels,"1.07 tỷ màu
Tần số quét 120Hz
Tỷ lệ khung hình 19:9:9",không có thông tin,Điện thoại
Điện thoại ZTE Blade A72 3GB 128GB,1990000.0,,6.745 inches,IPS LCD,5MP,13M AF+2M FF+2M FF,UMS9230（T606）,không có thông tin,3 GB,128 GB,5130 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"IPS, 16 triệu màu, Waterdrop
Tần số quét 90Hz",không có thông tin,Điện thoại
Redmi K60,,,6.66 inches,OLED,"Camera góc rộng: 16MP, 1/3.06"", 1.0µm","Camera góc rộng: 64MP, f/1.8, 1/2"", 0,7µm, PDAF, OIS
Camera góc siêu rộng: 8MP, 120˚, 1/4"", 1,12µm
Camera macro: 2MP, f/2.4",MediaTek và Snapdragon 4 nm,không có thông tin,8 GB,128 GB,5500 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"68 tỷ màu
Tần số quét 120Hz, Dolby Vision, HDR10+, 1400 nits",không có thông tin,Điện thoại
Samsung Galaxy M15 5G,5890000.0,,6.5 inches,Super AMOLED,"13 MP, f/2.0","Chính 50 MP & Phụ 5 MP, 2 MP",Mediatek Dimensity 6100+ (6 nm),Có,6 GB,128 GB,6000 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),"Tần số quét 90Hz
800 nits",2 nhân 2.2 GHz & 6 nhân 2.0 GHz,Điện thoại
OPPO Reno12 Pro,16090000.0,,6.7 inches,AMOLED,50 MP,"Chính 50 MP & Phụ 50 MP, 8 MP",MediaTek Dimensity 7300-Energy 5G 8 nhân,Có,12 GB,512 GB,5000 mAh,2 Nano-SIM,1080 x 2412 pixels,không có thông tin,không có thông tin,Điện thoại
Điện thoại ZTE Blade A31 Plus 2GB 32GB,1390000.0,,6.0 inches,IPS LCD,2MP,5MP,Unisoc SC9863A 8 nhân,Có,2 GB,32 GB,3000 mAh,2 SIM (Nano-SIM),480 x 960 pixel,"Màn hình cảm ứng điện dung, Màn hình cảm ứng đa điểm",không có thông tin,Điện thoại
TECNO Camon 20 Pro,4600000.0,,6.67 inches,AMOLED,"32 MP, f/2.5","64 MP, f/1.7 + 2 MP, f/2.4",Helio G99 (6nm),Có,8GB + Mở rộng 8GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz
Màn chắn nắng HBM",không có thông tin,Điện thoại
Samsung galaxy S23 Plus 8GB 512GB,29990000.0,,6.6 inches,Dynamic AMOLED 2X,"12MP, f/2.2","Camera chính góc rộng: 50 MP, f/1.8, Dual Pixel PDAF, OIS
Camera tele: 10 MP, f/2, 3x optical zoom
Camera góc siêu rộng:12 MP, f/2.2",Snapdragon 8 Gen 2 (4 nm),Có,8 GB,512 GB,4700 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2340 pixels (FullHD+),"Tần số quét 120Hz, HDR10+, Kính cường lực Corning® Gorilla® Glass Victus® 2",không có thông tin,Điện thoại
OnePlus 11 5G 8GB 128GB - Chỉ có tại CellphoneS,15990000.0,,6.7 inches,Fluid AMOLED,"Camera góc rộng: 16 MP, ƒ/2.45 hỗ trợ EIS","Camera góc rộng: 50MP, Laser AF, OIS
Camera tele: 32MP, PDAF, OIS, zoom quang 2x
Camera góc siêu rộng: 48MP, AF",Snapdragon 8 Gen 2 (4 nm),không có thông tin,8GB + Mở rộng 8GB,128 GB,5000 mAh,2 SIM (nano‑SIM và eSIM),1440 x 3216 pixels (QHD+),"Corning® Gorilla® Glass Victus, Hỗ trợ sRGB, Display P3, 10-bit Color Depth, HDR10+",không có thông tin,Điện thoại
realme C30s 3GB 64GB,1890000.0,,6.5 inches,IPS LCD,5MP,8MP,Unisoc SC9863A1,Không,3 GB,64 GB,5000mAh,2 SIM (Nano-SIM),720 x 1600 pixel,"60Hz, độ sáng tối đa 400 nits, 16,7 triệu màu",không có thông tin,Điện thoại
Honor 200 Pro,,,6.7 inches,OLED,50MP,"50MP, f/1.9 và hỗ trợ chống rung quang học (OIS)
Camera telephoto 50MP với khả năng zoom quang học 2.5x, khẩu độ f/2.4 và hỗ trợ OIS
12MP",Snapdragon 8s Gen 3,Có,12 GB,256 GB,5200 mAh,không có thông tin,không có thông tin,Tần số quét 120Hz,không có thông tin,Điện thoại
OPPO Reno 7 Pro,9990000.0,,6.5 inches,AMOLED,"32 MP, f/2.4","Camera góc rộng: 50MP (IMX766)
Camera góc siêu rộng: 8MP (IMX355)
Camera macro: 2MP (OmniVision OV02B10)",MediaTek Dimensity 1200 Max 8 nhân,Có,12 GB,256 GB,4500 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 90 Hz, Độ sáng tối đa: 920 nits, Kính cường lực Corning Gorilla Glass 5",không có thông tin,Điện thoại
Xiaomi Mix Fold 4,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
8 smartphone thú vị được giới thiệu tại MWC 2023,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Google Pixel 7,,,6.3 inches,AMOLED,"Camera siêu rộng; 10,8 MP, f/2.2, 21mm , 1 / 3,1 "", 1,22µm","Camera rộng:50MP, f/1.9, 25mm, 1.2µm, PDAF đa hướng, Laser AF, OIS
Camera siêu rộng; 12MP, f/2.2, 114˚, 1.25µm",Google Tensor G2 (5 nm),không có thông tin,8 GB,128 GB,4355 mAh,2 SIM (nano‑SIM và eSIM),1080 x 2400 pixels (FullHD+),"AMOLED, 90Hz, HDR10 +, 1000 nits (HBM), 1400 nits (đỉnh)",không có thông tin,Điện thoại
INOI A72 4GB 128GB,2090000.0,,6.5 inches,IPS LCD,5 MP,"Camera chính: 13.0 MP
2 MP",Unisoc T310,không có thông tin,4 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1600 x 720 pixels (HD+),"Tỷ lệ khung hình màn hình: 18:9
IPS",không có thông tin,Điện thoại
Xiaomi Redmi K70 Pro,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Snapdragon 8 Gen 3,Có,8 GB,128 GB,"5,120 mAh",không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Honor Magic 5 Pro,,,6.8 inches,LTPO OLED,12.5 MP,"Camera chính: 50 MP, f/1.6
Camera tele: 50 MP, f/2.0
Camera góc siêu rộng: 50 MP, f/3.0
Camera selfie: 12 MP, f/2.4",Snapdragon 8+ Gen 3,Có,8 GB,256 GB,5.100 mAh,không có thông tin,1312 x 2848 pixels,"Tần số quét 120 Hz, 1.800 nits",không có thông tin,Điện thoại
Meizu 20,,,6.55 inches,OLED,"Camera góc rộng: 32 MP, f/2.5","Camera góc rộng: 50 MP, f/1.9, 24mm, 1/1.56"", PDAF, OIS
Camera góc siêu rộng: 16 MP, f/2.4, 16mm, 122˚
5 MP, f/2.4",Snapdragon 8 Gen 2 (4 nm),không có thông tin,12 GB,128 GB,4700 mAh,2 SIM (Nano-SIM),1080 x 2408 pixels,"1 tỷ màu, Tần số quét 144Hz, 500 nits",không có thông tin,Điện thoại
Redmi K60 Pro 5G,,,6.66 inches,OLED,"Camera góc rộng: 16 MP, 1/3.06"", 1.0µm","Camera góc rộng: 54MP, f/1.9, 1/1.49"", 1.0µm, PDAF, OIS
Camera góc siêu rộng: 8MP, 118˚, 1/4"", 1.12µm
Camera macro: 2 MP, f/2.4",Snapdragon 8 Gen 2 (4 nm),không có thông tin,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1440 x 3200 pixels (QHD+),"Kính cường lực Corning Gorilla Glass Victus
Tần số quét 120Hz
Dolby Vision
HDR10+
Độ sáng 1400 nits
68 tỷ màu",không có thông tin,Điện thoại
Realme GT Neo 6,,,6.71 inches,Super AMOLED,16 MP,50 MP + 8 MP + 2 MP,Snapdragon 8 Gen 2,Có,12 GB,128 GB,5.000 mAh,không có thông tin,không có thông tin,Tốc độ làm mới 120 Hz,không có thông tin,Điện thoại
ZTE Nubia Z60 Ultra,,,6.8 inches,AMOLED,Camera góc rộng: 12 MP,"Camera chính: 50MP,
Tele kính viễn vọng: 64 MP, f/3.3, PDAF, OIS, 3.3x optical zoom (vs. 26mm cam)
Camera góc siêu rộng: 50MP,, f/1.8, AF",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Có,8 GB,256 GB,6000 mAh,2 SIM (Nano-SIM),1116 x 2480 pixels,"1 tỷ màu, Tần số quét 120Hz, HDR10+, 1500 nits",1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520,Điện thoại
Samsung Galaxy A24,,,6.5 inches,Super AMOLED,"Camera góc rộng: 13 MP, f/2.0","Camera góc rộng: 50MP, f/1.8, PDAF, OIS
Camera góc siêu rộng: 5MP, f/2.2, 123˚, 1/5"", 1.12µm
Camera macro: 2 MP, f/2.4",Mediatek MT8781 Helio G99 (6nm),Có,6 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),"Tần số quét 90Hz, 1000 nits",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Điện thoại
vivo X100 Pro,,,6.78 inches,LTPO AMOLED,"Camera góc rộng: 32 MP, f/2.0","Camera góc rộng: 50 MP, f/1.8,, PDAF, Laser AF, OIS
Camera tele kính tiềm vọng: 50 MP, f/2.5, PDAF, OIS, zoom quang 4,3x
Camera góc siêu rộng: 50 MP, f/2.0, 119˚",Mediatek Dimensity 9300 (4 nm),không có thông tin,12 GB,256 GB,5400 mAh,2 SIM (Nano-SIM),không có thông tin,"Tần số quét 120Hz,1B colors, 3000 nits",không có thông tin,Điện thoại
Samsung Galaxy Z Flip4 256GB,25990000.0,,6.7 inches,Dynamic AMOLED 2X,"10 MP, f/2.4","Camera góc rộng: 12 MP, f/1.8, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/1.12, 123˚",Snapdragon 8+ Gen 1 8 nhân,Có,8 GB,256 GB,3700 mAh,2 SIM (nano‑SIM và eSIM),1080 x 2640 pixels,"Màn hình chính: 6.7 inches, Dynamic AMOLED 2X
Màn hình ngoài: 1.9 inches, Super AMOLED
120Hz, HDR10+, 1200 nits (peak)
Mặt kính cảm ứng chính: Ultra Thin Glass
Mặt kính cảm ứng phụ: Corning Gorilla Glass Victus+",không có thông tin,Điện thoại
realme C63 8GB 128GB,,,6.76 inches,IPS LCD,16 MP,"Camera góc rộng: 64 MP, f/1.9
Camera góc siêu rộng: 8 MP",Helio G90T,Không,8 GB,128 GB,5300 mAh,2 SIM (Nano-SIM),1080x2460 pixels,"16 triệu màu, 406 pixels",không có thông tin,Điện thoại
OPPO A60,5050000.0,,6.67 inches,IPS LCD,8 MP,Chính 50 MP & Phụ 2 MP,Snapdragon 680 8 nhân,Không,8 GB,128 GB,"5,000 mAh",2 SIM (Nano-SIM),không có thông tin,"Tần số quét 90Hz, 16.7 triệu màu, 950 nits",2.4 GHz,Điện thoại
realme GT Neo 5,,,6.74 inches,AMOLED,"Camera góc rộng: 16MP, f/2.45","Camera chính Sony IMX 890 OIS: 50MP, f/1.88
Camera góc siêu rộng: 8MP, 112°
Camera tele: 2MP, f/3.3",Chip Snapdragon® 8+ 5G,không có thông tin,16 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1240 x 2772 pixels,"144Hz, 1,07 tỷ màu, Độ bão hòa màu: DCI-P3 100%",không có thông tin,Điện thoại
Huawei Mate 60 Pro,,,6.82 inches,LTPO OLED,"Camera góc rộng: 13 MP, f/2.4, 18mm","Camera góc rộng: 50 MP, f/1.4-f/4.0, 24mm, PDAF, Laser AF, OIS
Camera Tele kính tiềm vọng: 48 MP, f/3.5, 90mm, PDAF, OIS, zoom quang 3,5x
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, PDAF",Kirin 9000S (7 nm),không có thông tin,12 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),không có thông tin,"Tần số quét 120Hz, 1,07 tỷ màu, gam màu rộng P3
Huawei Kunlun Glass 2",không có thông tin,Điện thoại
Xiaomi POCO F5 Pro,,,6.66 inches,Super AMOLED,20 MP,"Camera góc rộng: 48 MP, f/1.8
Camera góc siêu rộng: 8 MP, f/2.2
Camera macro: 5 MP.",Snapdragon 870,Có,6 GB,64 GB,4.520 mAh,không có thông tin,1080 x 2400 pixels (FullHD+),Tần số quét 120 Hz,không có thông tin,Điện thoại
realme 13+ 5G,,,6.67 inches,OLED,"16MP, f/2.4",50MP 882 OIS + 2MP + Flicker,Dimensity 7300 Energy 5G,Có,8 GB,256 GB,5000 mAh,2 Nano-SIM,1080 x 2400 pixels (FullHD+),"16.7 triệu màu, 2000nits, 120Hz
AGC DT STAR2",Lõi tám nhân 4*A78 @2.5 GHz，4*A55 @2.5 GHz,Điện thoại
ASUS ROG Phone 5S 16GB 512GB,17790000.0,,6.78 inches,AMOLED,24 MP,"Camera góc rộng: 64 MP
Camera góc siêu rộng: 13 MP,
Camera macro: 5 MP",Snapdragon 888 Plus 8 nhân,không có thông tin,16 GB,512 GB,6000 mAh,2 SIM (Nano-SIM),1080 x 2448 pixels (FullHD+),"144hz, Corning® Gorilla® Glass Victus, Delta-E < 1",không có thông tin,Điện thoại
Google Pixel 6,,,6.4 inches,AMOLED,"Camera rộng: 8 MP, f/2.0, 24mm, 1.12µm","Camera góc rộng: 50 MP, f/1.9, 25mm, 1 / 1.31 "", 1.2µm, Dual Pixel PDAF, Laser AF, OIS
Camera siêu rộng: 12 MP, f/2.2, 17mm, 114˚, 1.25µm",Google Tensor (5 nm),không có thông tin,8 GB,128 GB,4614 mAh,Nano-SIM + eSIM,1080 x 2400 pixels (FullHD+),"Kính cường lực Corning Gorilla Glass Victus
Màn hình luôn bật",không có thông tin,Điện thoại
Google Pixel 8 Pro,,,6.7 inches,OLED,"10,5 MP","Camera chính độ phân giải: 50MP, f/1.7, 25mm, công nghệ gộp điểm ảnh, PDAF, lấy nét laze nhiều vùng, chống rung OIS
Camera tele: 48MP, f/2.8, công nghệ dual pixel PDAF, hỗ trợ chống rung OIS, zoom quang 5x",Google Tensor G3 tiến trình 4nm,Có,8 GB,128 GB,"5,050 mAh",2 SIM (Nano-SIM),không có thông tin,"Tần số quét 120Hz, HDR10+",không có thông tin,Điện thoại
Nothing Phone 2A 8GB 128GB,8490000.0,,6.7 inches,Flexible AMOLED On-cell,"32 MP, f/2.2, 1/2.74""","50 MP, f/1.88, 1/1.56""
50 MP, f/2.2, 1/2.76"", 114° FOV",MediaTek Dimensity 7200 Pro (4nm TSMC process),không có thông tin,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2412 pixels,"Corning® Gorilla® Glass 5
Tỷ lệ tương phản: 1,000,000:1
394 PPI
1300 nits
120 Hz",Up to 2.8 GHz,Điện thoại
Leitz Phone 1,,,6.6 inches,OLED,"12.6MP, f/2.3","20MP, f/1.9",Snapdragon 888,không có thông tin,12 GB,256 GB,"5,000 mAh",không có thông tin,không có thông tin,Tốc độ làm mới 240Hz,không có thông tin,Điện thoại
TECNO SPARK Go 1 4GB 64GB - Đã kích hoạt,1890000.0,,6.67 inches,IPS LCD,8MP,13MP,Unisoc T615,không có thông tin,4 GB,64 GB,5000mAh,2 Nano-SIM,không có thông tin,120 Hz,không có thông tin,Điện thoại
OPPO A3X,3990000.0,,6.67 inches,LCD,"5MP; f/2.2,",8MP; f/2; FOV 78°,Qualcomm® Snapdragon® 6s 4G Gen1,Không,4 GB,128 GB,5100mAh,2 Nano-SIM,720 x 1604 (HD+),"Tỉ lệ màn hình 89.9%, 90Hz",8 nhân,Điện thoại
Xiaomi Redmi Note 14 Pro,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
ZTE Blade A52 3GB 64GB,1790000.0,,6.52 inches,IPS LCD,"5MP, f/2.2","13MP, f/2.2
2MP, f/2.4
2MP, f/2.4",Unisoc SC9863A,không có thông tin,3 GB,64 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,không có thông tin,không có thông tin,Điện thoại
Xiaomi Black Shark 5,,,6.66 inches,AMOLED,Camera góc rộng: 16 MP,"Camera góc rộng: 64 MP, f/1.8, PDAF
Camera góc cực rộng: 13 MP, f/2.4, 120˚
Camera macro: 2 MP, f/2.4",Snapdragon 870 5G (7 nm),không có thông tin,8 GB,128 GB,Li-Po 4650 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"144Hz, Always-on display",không có thông tin,Điện thoại
TECNO SPARK Go 1 4GB 64GB - Cũ Đẹp,1690000.0,,6.67 inches,IPS LCD,8MP,13MP,Unisoc T615,không có thông tin,4 GB,64 GB,5000mAh,2 Nano-SIM,không có thông tin,120 Hz,không có thông tin,Điện thoại
Samsung Galaxy S22 (8GB - 128GB),21990000.0,,6.1 inches,Dynamic AMOLED 2X,"10MP, f/2.2","Camera chính: 50MP, f/1.8
Camera góc siêu rộng: 12MP, f/2.2
Camera tele: 10MP, f/2.4",Snapdragon 8 Gen 1,Có,8 GB,128 GB,3700 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,2340 x 1080-pixel,"Corning Gorilla Glass Victus+, HDR10+, 1300 nits, Tần số quét 120 Hz",không có thông tin,Điện thoại
POCO F6,,,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Có,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
OPPO Find N2,,,7.0 inches,AMOLED,"32 MP, f/2.4< Camera ở màn phụ: 32 MP, f/2.4","Camera góc rộng: 50 MP, f/1.8, PDAF, OIS
Camera tele: 32 MP, f/2.0, 2x optical zoom, PDAF
Camera góc siêu rộng: 48 MP, f/2.2,115˚",Snapdragon 8+ Gen 1 (4 nm),không có thông tin,12 GB,256 GB,4520 mAh,2 SIM (Nano-SIM),không có thông tin,"Màn hình chính: Có thể gập, LTPO AMOLED, 120Hz, HDR10+, 1792 x 1920 pixels
Màn hình phụ: 5.54 inche0s, AMOLED, 120Hz, Corning Gorilla Glass Victus, 1080 x 2120 pixels, 18:9 ratio",không có thông tin,Điện thoại
Samsung Galaxy S24FE 5G 8GB 256GB,,,6.7 inches,Dynamic AMOLED 2X,"10.0 MP, f/2.4","50.0 MP, f/1.8 + 12.0 MP, f/2.2 + 8.0 MP, f/2.4
Zoom quang học 3x, chất lượng Zoom quang học 2x",Exynos 2400e (4nm),Có,8 GB,256 GB,4700 mAh,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,1080 x 2340 pixels (FullHD+),"120Hz, 16 triệu màu, 1900 nits
Kính cường lực Corning® Gorilla® Glass Victus®+","10 nhân 3.1GHz, 2.9GHz, 2.6GHz, 1.95GHz",Điện thoại
Xiaomi Redmi Note 12 Pro 4G-Xanh dương,,,6.67 inches,AMOLED,"16MP, f/2.45","Camera chính: 108MP, f/1.9, 1/1.52""
Camera góc siêu rộng: 8MP, f/2.2, FOV 120°
Camera cận cảnh: 2MP, f/2.4
Camera chiều sâu: 2MP, f/2.4",Qualcomm SM7150 Snapdragon 732G (8 nm),Có,8 GB,256 GB,5000mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, độ sáng 1200nits
Corning® Gorilla® Glass 3",không có thông tin,Điện thoại
Honor Magic 5,,,6.73 inches,OLED,12MP,"Camera chính góc rộng: 54MP, f/1.9
Camera chính góc siêu rộng: 50MP, f/2.0
Camera Telephoto: 32MP, f/2.4, 2.5x Optical Zoom, 50x Digital Zoom, OIS",Snapdragon 8 Gen 2,không có thông tin,12 GB,256 GB,5100 mAh,2 SIM (Nano-SIM),không có thông tin,1.07 tỷ màu,không có thông tin,Điện thoại
realme C65 6GB 128GB,3590000.0,,6.67 inches,IPS LCD,8 MP,Chính 50 MP & Cảm biến Flicker,MediaTek Helio G85 8 nhân,Không,6 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),không có thông tin,"Tần số quét 90 Hz
625 nits",không có thông tin,Điện thoại
realme 10 8GB 256GB,7190000.0,,6.4 inches,Super AMOLED,"16 MP, f/2.5","Camera chính AI: 50MP, f/1.8
Camera chân dung: 2MP, f/2.4",Helio G99 (6nm),không có thông tin,8 GB,256 GB,5.000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 90 Hz, 16,7 triệu màu, Độ tương phản: 4,000,000:1, kính cường lực: Corning Gorilla Glass 5",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Điện thoại
OPPO A98 5G,5790000.0,,6.72 inches,không có thông tin,32 MP,"Chính 64 MP & Phụ 2 MP, 2 MP",Snapdragon 695 5G 8 nhân,Có,8 GB,256 GB,5.000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, 680 nits, Kính cường lực Panda",không có thông tin,Điện thoại
Infinix GT 20 Pro 12GB 256GB,,,6.78 inches,AMOLED,32 MP,108MP+2MP+2MP,Dimensity 8200 Ultimate (4 nm),Có,12 GB,256 GB,5000mAh,không có thông tin,không có thông tin,không có thông tin,không có thông tin,Điện thoại
Sharp Aquos R8,,,6.6 inches,OLED,8MP,Camera siêu rộng: 13MP,Snapdragon 8 Gen 2,Có,8 GB,256 GB,4570 mAh,không có thông tin,1080 x 2340 pixels (FullHD+),"2000 nits, tần số quét 240Hz",không có thông tin,Điện thoại
